id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,3,1,0,1,1,1,1,3,3,3,3,3,4,3,4,4,4,7,5,16,5,16,5,8,8,5,8,20
mh1,mh1,50.0,1,1,1,1,1,4,7,7,1,1,11,11,11,11,8,11,8,8,8,9,0,14,0,14,0,10,10,0,10,14
mnh0,mnh0,50.0,3,1,6,1,1,1,1,1,1,6,6,6,6,14,7,15,7,7,6,7,7,6,7,6,12,13,13,7,13,6
mnh1,mnh1,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,6,1,7,6,7,1
mnh2,mnh2,50.0,1,1,5,1,2,1,4,4,1,5,8,8,8,17,10,18,10,10,15,10,12,8,12,8,12,10,10,12,10,8
mnh3,mnh3,50.0,1,1,1,6,4,1,5,5,6,14,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
mnh4,mnh4,50.0,1,1,1,8,3,1,1,7,8,28,1,1,1,1,13,1,13,13,13,13,21,1,21,26,21,24,24,21,24,1
mnh5,mnh5,50.0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,6,1,6,6,10,6,6,13,6,13,8,6,6,8,6,13
mnh6,mnh6,50.0,1,1,8,1,1,1,1,1,1,16,14,9,14,9,9,13,9,9,9,9,9,15,9,15,9,9,9,9,9,15
lpsh0,lpsh0,1.0,1,1,1,1/7,2,4,5/6,1,1,1,1,1,0/1,1,0,1/21,0,0/9,20,0,0,22,0,24,0,10,0,0,0,24
lpsnh0,lpsnh0,1.0,1,3,10,8,2,3,3,5/6,4,10/12,26/27,28,26,27,25,30,21,25,13,21,23,26,23,26,23,25,25,23,25,26
lpsnh1,lpsnh1,1.0,3,1,1,1/6,1/2,1,1,1,5,1,7,7,7,7,7/11,7,7/11,7/11,7,7/11,8,7,8,17,9,7,7,8,13/14,28
lpsnh2,lpsnh2,1.0,1,1,8,1,1,1,2,3,1,8,8,8,8,8,16/15,8,8,16/15,8,8,9/10,22,9,8,9/11,20,19,9,19,8
lpsnh3,lpsnh3,1.0,1,1,1,1,1,1/2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,3,3,1,3,1
lpsnh4,lpsnh4,1.0,1/2/3,1,1,1/4,1,1,1,1,4,1,5/6,5/6,6,5/6,1,5/6/7,1,1,1,1,1,6,1,6,1,1,1,1,1,6
lpsnh5,lpsnh5,1.0,1,3/4,1,3,1,4,6,5,3,1,15,15,15,15,15,15,15,15,15,15,15,20,15,15,15,15,15,15,15,15
