id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,22,0,13,0,0,0,22,13,22,0,0,22,15,10,0,22,11,10,10,12,13,10,5,13,13,5,9,13,13,21
mh1,mh1,50.0,1,1,1,2,1,2,1,1,1,2,0,13,1,2,1,1,2,2,2,4,6,2,2,8,8,2,2,8,8,8
mnh0,mnh0,50.0,1,1,1,1,1,1,1,11,1,1,1,17,11,1,17,1,1,1,8,1,11,10,5,14,14,5,6,14,11,11
mnh1,mnh1,50.0,6,1,6,1,1,1,6,6,6,1,1,14,6,1,6,6,1,1,1,1,6,1,4,6,6,1,1,11,6,6
mnh2,mnh2,50.0,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,16,1,1,1,1,9,1,4,11,12,5,1,12,11,11
mnh3,mnh3,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,20,1,4,20,22,22
mnh4,mnh4,50.0,1,1,1,2,1,1,1,8,33,4,4,1,8,4,37,35,4,4,4,4,15,4,5,28,27,5,4,8,8,8
mnh5,mnh5,50.0,19,1,13,1,1,1,20,13,19,1,1,20,13,1,20,24,10,11,9,1,14,1,1,13,15,7,1,13,13,13
mnh6,mnh6,50.0,1,1,1,1,1,1,27,1,27,1,1,27,16,14,34,29,1,13,1,1,16,1,1,18,22,6,9,18,24,1
mnh7,mnh7,50.0,1,8,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,1,1,2,11,11,2,1,11,11,11
lpsh0,lpsh0,1.0,1,1,1,1,1,1,1,1/11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2/5,1,1,7,0/1,1,1,1
lpsh1,lpsh1,1.0,19,1,1,1,1,1,23,15,19,5,5/7,22,1,5/9,0,0,5,5/9,5,5,1,8,5,12,12,6,5,14,12,12
lpsnh0,lpsnh0,1.0,1/12,1,1,3,1,3,13,1,1/12,3,3,1,10,3,1,13/14,3,3,3,8,10,9,3,11,1,6,7,1,1,1
lpsnh1,lpsnh1,1.0,1,1,1,1,1,1,24/25,1,22,1,4,24,1,1,24,25/26,1,1,5,7/9,1,7,1,17,17,3,1,17,17/19/20,17
lpsnh2,lpsnh2,1.0,13,1,14,1,1/12,1,13,18,13,1,1,13,14,1/11,13,13,1,1,1,1,14,1,6,14,16/14,6,8,15,14,14
