id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,6,3,8,6,6,6,6,6,6,6,6,6,6,18,6,8,6,6,11,6,6,15,0,8,6,17,6,6,6
mh1,mh1,50.0,1,1,4,1,1,1,16,24,1,1,24,16,7,16,16,7,1,14,24,1,25,24,14,4,1,18,20,22,22,24
mh2,mh2,50.0,0,10,2,0,8,8,8,0,15,8,8,21,8,8,8,8,12,19,0,12,23,8,16,4,12,8,8,8,8,26
mh3,mh3,50.0,1,1,3,7,6,6,6,16,6,10,19,6,6,6,6,6,8,6,17,8,13,14,12,0,8,6,6,6,6,6
mh4,mh4,50.0,0,0,10,0,0,0,24,0,16,16,0,24,0,0,24,0,12,0,0,0,0,0,21,7,0,24,25,24,0,29
mh5,mh5,50.0,1,15,4,15,15,15,15,15,21,15,15,15,19,15,15,19,15,15,15,15,26,15,15,11,17,15,15,15,15,15
mh6,mh6,50.0,1,4,1,7,7,7,7,7,10,9,0,7,7,14,7,7,7,0,18,0,7,7,12,3,7,7,16,7,7,7
mh7,mh7,50.0,1,3,1,3,3,3,3,17,8,7,3,3,3,3,3,3,3,3,16,3,3,3,3,2,0,10,11,3,3,3
mh8,mh8,50.0,1,1,0,1,7,7,1,1,1,1,1,0,7,1,1,7,6,1,1,6,1,16,9,0,6,11,11,0,0,27
mh9,mh9,50.0,1,5,1,1,7,7,0,1,1,1,1,0,7,15,0,7,6,0,1,6,20,20,0,1,6,17,0,19,19,1
mh10,mh10,50.0,1,1,1,1,1,10,1,20,13,13,1,1,10,1,18,10,4,1,1,4,1,1,1,1,4,19,19,1,1,1
mh11,mh11,50.0,1,3,1,3,5,6,3,3,3,3,3,3,9,15,3,10,3,3,3,3,3,3,3,1,3,3,3,17,16,3
mnh0,mnh0,50.0,1,1,1,5,1,1,1,1,1,1,1,1,6,12,15,6,1,1,1,3,1,1,11,1,1,13,13,1,1,1
mnh1,mnh1,50.0,1,1,2,5,7,7,1,1,10,1,1,1,7,1,1,7,5,15,1,5,25,1,15,1,5,1,1,18,18,1
mnh2,mnh2,50.0,1,1,1,1,6,6,1,1,8,7,1,1,6,1,1,6,1,10,15,1,1,1,1,1,1,1,1,11,11,1
