id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,15,1,5,6,5,1,3,5,1,1,6,10,1,11,15
mh1,mh1,50.0,23,0,0,32,0,0,0,0,25,0,0,13,0,13,13,0,0,13,13,13,0,0,16,0,0,13,25,25,25,27
mnh0,mnh0,50.0,1,1,1,1,1,1,1,1,1,1,1,7,1,7,7,1,1,7,7,7,9,1,7,9,2,7,1,1,1,1
mnh1,mnh1,50.0,1,1,1,1,2,2,9,1,1,1,2,2,2,2,8,1,2,2,8,2,1,5,2,1,2,8,1,1,1,1
mnh2,mnh2,50.0,1,11,11,1,1,1,11,11,12,16,8,1,9,1,1,18,1,1,10,1,16,1,1,16,7,1,15,12,12,18
mnh3,mnh3,50.0,1,1,1,1,1,1,1,1,1,1,1,13,2,13,13,1,1,13,13,13,1,2,13,1,1,13,1,1,1,19
mnh4,mnh4,50.0,2,2,2,1,2,2,18,2,2,2,2,6,2,6,6,21,2,9,6,6,2,2,11,2,4,6,2,2,16,21
mnh5,mnh5,50.0,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,6,1,1
mnh6,mnh6,50.0,1,1,1,1,1,1,1,5,1,6,1,1,1,1,1,6,1,3,4,1,6,1,3,6,1,4,1,1,1,9
mnh7,mnh7,50.0,1,5,5,16,1,1,5,5,5,5,1,1,1,1,1,5,1,1,1,1,5,4,1,5,1,1,5,5,8,15
lpsh0,lpsh0,1.0,1,0,20,1,1,1,17,1,1,1,1,1,1,1,1,24,1,1,1,1,21,1,1,21,1,1,6/7,8,16,24
lpsh1,lpsh1,1.0,1,1,1,1,1,1,1/22,1,1,1/24,1,1,1,1,1/5,1,1,1,1/5,1,1,1,1/4,1,1,1/5,19/20,21,1,1
lpsh2,lpsh2,1.0,3/10,3,3,1,3,3/5,3,12,3,12,4,6,4,6,6,13,4,6,6,6,13,4,6,16,4,6,3,3,3,13
lpsh3,lpsh3,1.0,1,1,1,0,0/1,1,1,1,1,10/11,1,0,1,0,0,10/13,1/2,0/4,0,0/4,10,1,0,10,1,0,0,0,9,10
lpsnh0,lpsnh0,1.0,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,2/4,1,1,1/7,1,1/10
lpsnh1,lpsnh1,1.0,1/4,1,1,1,1,1,1,1,1,1,2,1,2,1,1,5,2,1,1,1,1,2,1,1,2,1,1,1,1,5
