id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,2,1,1,1,1,1,1,5,14,43,18,5,5,1,43,19,14,19,6,39,6,43,5,7,1,39,43,43,46
mh1,mh1,50.0,1,1,15,1,1,1,15,1,2,1,1,1,2,3,1,1,10,1,9,3,1,3,0,3,4,1,1,12,13,0
mh2,mh2,50.0,1,1,1,1,1,1,1,5,3,5,9,5,4,3,8,14,1,5,1,3,1,3,13,3,3,5,1,9,10,10
mh3,mh3,50.0,1,1,1,2,2,2,1,7,7,0,0,0,17,0,0,0,21,0,21,0,21,15,26,0,7,20,21,0,26,33
mh4,mh4,50.0,1,1,3,3,3,3,23,3,3,3,17,3,9,3,3,17,13,3,13,7,13,3,18,3,3,3,13,17,19,18
mh5,mh5,50.0,1,1,1,1,11,11,1,1,1,1,1,1,5,2,1,1,12,9,11,2,14,2,1,2,4,1,13,21,1,1
mh6,mh6,50.0,1,1,1,1,1,1,1,2,3,2,1,2,7,3,2,1,1,9,1,5,1,5,13,3,3,2,1,1,13,13
mh7,mh7,50.0,1,1,18,1,1,1,1,1,2,1,1,1,11,2,12,1,0,1,0,4,15,4,1,10,11,1,15,1,1,17
mh8,mh8,50.0,14,1,1,3,3,3,1,3,3,3,3,3,9,3,3,3,3,3,3,3,3,3,3,3,8,3,3,3,3,3
mh9,mh9,50.0,1,1,1,1,1,1,1,1,1,6,15,6,0,1,6,15,1,7,1,1,11,4,15,1,1,6,13,15,15,15
mh10,mh10,50.0,0,1,4,16,4,4,4,4,4,4,17,4,0,4,9,18,11,4,11,4,4,4,17,4,4,10,4,17,17,0
mh11,mh11,50.0,1,1,1,1,1,1,31,1,1,1,1,1,8,1,9,29,1,1,1,1,13,3,26,6,1,11,21,1,26,26
mh12,mh12,50.0,4,1,24,15,15,0,25,4/9,4,13,15,13,4,4,13,15,15,13,15,4,16,4,22,6,4,13,16,15,17,17
mh13,mh13,50.0,1,2,30,1,1,1,30,1,3,1,1,16,12,3,16,29,1,1,1,3,27,7,1,3,8,17,27,1,1,1
mh14,mh14,50.0,1,2,1,8,9,9,1,3,4,7,13,7,3,4,7,0,9,7,9,5,11,5,24,4,6,7,11,13,18,18
mnh0,mnh0,50.0,1,1,1,7,7,7,1,7,7,20,28,19,7,7,19,31,7,21,7,10,7,7,28,11,16,25,7,28,28,30
mnh1,mnh1,50.0,1,1,1,1,20,20,1,1,1,1,1,16,1,1,16,1,21,1,21,1,21,1,1,1,12,17,23,1,1,26
mnh2,mnh2,50.0,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,8,1,1,1,1,1,4,8,1,1,6,1,9,8,8
