id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,12,1,2,11,2,3,2,2,5,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,8,2,2,2,2,2
mh1,mh1,50.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,6,0,0,0
mh2,mh2,50.0,0,0,0,0,0,0,1,1,1,1,0,0,0,19,0,0,1,15,0,17,0,0,0,0,0,14,17,1,1,20
mh3,mh3,50.0,1,1,3,3,3,0,0,0,6,7,0,0,0,19,15,15,20,13,8,0,0,0,0,0,0,0,0,20,20,20
mh4,mh4,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,9,1,1,1,1,1,6,1,8,1,1,9,9,9
mh5,mh5,50.0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0
mh6,mh6,50.0,1,9,1,1,1,1,1,1,1,1,2,2,2,7,2,6,7,2,2,2,2,2,2,2,2,2,2,7,7,7
mh7,mh7,50.0,1,1,1,1,1,1,4,4,4,4,6,7,6,4,14,14,15,9,6,13,6,6,6,6,6,6,6,15,15,15
mh8,mh8,50.0,1,1,1,1,1,1,3,4,4,4,4,4,4,3,4,4,3,4,4,8,4,4,5,4,4,4,8,3,3,3
mh9,mh9,50.0,1,1,2,1,2,2,2,3,3,3,2,2,2,8,2,6,8,2,2,2,2,2,2,2,2,2,2,8,8,8
mh10,mh10,50.0,1,1,1,1,1,1,2,2,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,6,2,0
mh11,mh11,50.0,1,1,1,1,1,1,1,4,4,4,1,1,6,14,1,1,14,10,1,0,1,7,1,1,1,1,0,14,0,0
mh12,mh12,50.0,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,10,5,5,5,5,7,5,5,8,5,5,10,10,10
mh13,mh13,50.0,1,3,3,3,3,3,4,5,5,6,4,4,4,4,40,40,4,4,4,38,0,4,4,4,10,4,4,4,4,4
mh14,mh14,50.0,0,0,1,1,1,1,4,4,6,6,7,7,7,4,7,0,4,7,7,7,12,7,13,7,14,7,7,4,4,4
mnh0,mnh0,50.0,1,1,1,16,1,1,1,1,1,3,1,1,1,11,1,1,1,1,1,1,6,6,6,1,1,1,8,12,1,1
mnh1,mnh1,50.0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,3,3,3,3
mnh2,mnh2,50.0,1,1,1,1,1,1,3,3,4,4,8,8,8,20,8,8,20,15,8,8,8,8,8,13,8,8,16,20,20,20
mnh3,mnh3,50.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,2,2,2,5,2,2,2,2,2,2
mnh4,mnh4,50.0,1,20,1,1,1,5,5,6,8,6,5,9,10,5,5,5,5,10,10,10,10,10,10,10,10,16,10,5,5,5
mnh5,mnh5,50.0,14,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,10,13,13
mnh6,mnh6,50.0,1,1,2,2,2,2,2,2,2,2,5,5,5,2,5,5,2,5,7,12,8,8,8,7,7,5,5,2,16,16
mnh7,mnh7,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,14,15,1,8,1,8,11,8,8,8,8,1,15,15,15
mnh8,mnh8,50.0,15,1,1,1,1,1,10,1,1,1,3,4,3,11,3,3,11,3,3,9,3,3,3,5,6,3,3,11,11,11
mnh9,mnh9,50.0,16,1,3,3,3,4,6,6,6,8,6,6,6,6,13,14,6,12,6,6,6,6,6,6,6,6,6,6,6,6
mnh10,mnh10,50.0,1,1,1,1,4,4,4,4,4,4,4,4,4,13,9,9,13,4,4,4,4,4,4,4,4,4,4,13,15,15
mnh11,mnh11,50.0,1,1,5,5,5,5,5,5,6,5,7,7,11,5,7,7,5,17,7,7,7,7,7,7,7,7,7,5,19,19
mnh12,mnh12,50.0,1,1,1,1,1,1,2,2,2,2,2,2,2,13,2,2,13,12,6,2,6,6,6,2,8,10,2,13,13,13
